Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,5038.4501953125,5068.0,4978.85009765625,4990.5,4990.5,310798
2022-01-04,5015.0,5028.89990234375,4921.10009765625,4964.60009765625,4964.60009765625,369814
2022-01-05,4962.0,5138.64990234375,4922.0,4973.25,4973.25,966342
2022-01-06,4970.0,5038.0,4905.0,4964.4501953125,4964.4501953125,585391
2022-01-07,4960.0,5059.10009765625,4958.0,5021.85009765625,5021.85009765625,549876
2022-01-10,5021.85009765625,5085.0,4963.0,5065.25,5065.25,542304
2022-01-11,5050.0,5141.5,5020.2998046875,5059.0498046875,5059.0498046875,742409
2022-01-12,5075.0,5099.0,5005.64990234375,5014.39990234375,5014.39990234375,360219
2022-01-13,5024.89990234375,5051.0,4953.14990234375,4983.35009765625,4983.35009765625,457570
2022-01-14,4997.89990234375,5015.0,4930.0,4974.0498046875,4974.0498046875,207639
2022-01-17,4974.0,4984.7001953125,4900.0,4911.75,4911.75,337077
2022-01-18,4900.0,4909.89990234375,4505.0,4615.7998046875,4615.7998046875,3507266
2022-01-19,4615.0,4615.0,4400.0,4515.9501953125,4515.9501953125,2404880
2022-01-20,4525.0,4725.0,4490.0,4644.7998046875,4644.7998046875,2747887
2022-01-21,4649.9501953125,4733.75,4544.85009765625,4691.64990234375,4691.64990234375,1008450
2022-01-24,4690.0,4710.7998046875,4462.25,4498.14990234375,4498.14990234375,737762
2022-01-25,4415.0,4535.0,4250.10009765625,4486.0,4486.0,917284
2022-01-27,4427.0,4427.0,4150.0,4292.25,4292.25,1244330
2022-01-28,4346.0,4565.0,4335.25,4478.60009765625,4478.60009765625,932049
2022-01-31,4584.0,4584.0,4358.0498046875,4457.35009765625,4457.35009765625,934551
2022-02-01,4478.7998046875,4532.25,4444.0,4512.0498046875,4512.0498046875,548762
2022-02-02,4530.0,4683.0,4520.64990234375,4666.2998046875,4666.2998046875,676206
2022-02-03,4667.9501953125,4704.75,4602.7998046875,4642.7998046875,4642.7998046875,777217
2022-02-04,4640.0,4794.0,4601.75,4687.89990234375,4687.89990234375,829635
2022-02-07,4687.39990234375,4724.5498046875,4450.0498046875,4475.14990234375,4475.14990234375,597040
2022-02-08,4497.5,4529.7001953125,4380.0,4399.5,4399.5,628869
2022-02-09,4514.7001953125,4587.0,4430.0498046875,4577.25,4577.25,842211
2022-02-10,4576.0498046875,4623.0,4528.10009765625,4590.64990234375,4590.64990234375,487802
2022-02-11,4610.0,4613.4501953125,4476.4501953125,4514.89990234375,4514.89990234375,572726
2022-02-14,4479.10009765625,4678.0,4402.75,4486.35009765625,4486.35009765625,1094132
2022-02-15,4530.0,4675.0,4501.89990234375,4663.39990234375,4663.39990234375,791080
2022-02-16,4695.0,4724.0,4555.0498046875,4584.7998046875,4584.7998046875,584166
2022-02-17,4584.0,4667.5,4550.0,4564.7001953125,4564.7001953125,520450
2022-02-18,4504.0,4592.7998046875,4462.5498046875,4471.5498046875,4471.5498046875,388145
2022-02-21,4471.0,4524.9501953125,4390.64990234375,4426.64990234375,4426.64990234375,392246
2022-02-22,4327.0,4605.5498046875,4300.0,4576.0498046875,4576.0498046875,833525
2022-02-23,4595.0,4735.0,4590.5,4610.7998046875,4610.7998046875,755051
2022-02-24,4425.0,4535.0,4351.0498046875,4381.9501953125,4381.9501953125,814710
2022-02-25,4570.0,4747.60009765625,4465.75,4633.4501953125,4633.4501953125,1187316
2022-02-28,4615.0,4826.0,4571.2001953125,4802.7998046875,4802.7998046875,1617666
