Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1196.0,1214.449951171875,1196.0,1209.4000244140625,1207.1541748046875,925281
2022-01-04,1206.300048828125,1227.0,1205.5,1220.5999755859375,1218.3333740234375,1409464
2022-01-05,1215.0,1225.0,1213.75,1219.8499755859375,1217.584716796875,378090
2022-01-06,1208.800048828125,1228.449951171875,1202.1500244140625,1205.5999755859375,1203.3612060546875,1387627
2022-01-07,1208.0,1219.25,1206.0,1217.4000244140625,1215.1392822265625,1050768
2022-01-10,1219.0,1240.699951171875,1213.300048828125,1229.0999755859375,1226.8175048828125,1379165
2022-01-11,1230.800048828125,1239.949951171875,1224.0999755859375,1233.4000244140625,1231.109619140625,985871
2022-01-12,1240.0,1255.4000244140625,1231.1500244140625,1249.4000244140625,1247.0799560546875,1371034
2022-01-13,1255.0,1261.0,1246.0,1258.699951171875,1256.362548828125,933511
2022-01-14,1259.0,1272.25,1254.5,1263.5999755859375,1261.2535400390625,895522
2022-01-17,1256.300048828125,1293.25,1256.300048828125,1287.949951171875,1285.5582275390625,1427239
2022-01-18,1287.949951171875,1293.0,1263.0999755859375,1265.9000244140625,1263.54931640625,869578
2022-01-19,1263.0,1272.0999755859375,1240.5999755859375,1248.0999755859375,1245.7822265625,625670
2022-01-20,1248.0,1255.6500244140625,1230.949951171875,1238.699951171875,1236.399658203125,716954
2022-01-21,1225.0,1263.199951171875,1201.0,1240.6500244140625,1238.34619140625,2421446
2022-01-24,1240.0,1240.0,1205.1500244140625,1225.0,1222.7252197265625,1073781
2022-01-25,1212.0999755859375,1232.9000244140625,1210.25,1228.0,1225.7196044921875,1083251
2022-01-27,1219.0,1221.9000244140625,1201.8499755859375,1211.6500244140625,1209.4000244140625,1793456
2022-01-28,1210.0,1237.75,1201.0,1205.550048828125,1203.3114013671875,635096
2022-01-31,1210.0,1238.4000244140625,1206.050048828125,1233.25,1230.9598388671875,1771932
2022-02-01,1250.0,1250.0,1202.5999755859375,1214.949951171875,1212.69384765625,1593083
2022-02-02,1216.699951171875,1227.550048828125,1211.050048828125,1220.0999755859375,1217.834228515625,937000
2022-02-03,1218.050048828125,1220.0,1175.5999755859375,1185.199951171875,1182.9990234375,1236574
2022-02-04,1194.0,1194.0,1165.1500244140625,1172.0999755859375,1169.9234619140625,856452
2022-02-07,1161.800048828125,1171.699951171875,1131.9000244140625,1144.0,1141.8756103515625,1519928
2022-02-08,1145.0,1149.0,1117.3499755859375,1131.1500244140625,1129.0494384765625,1511667
2022-02-09,1132.0,1140.800048828125,1118.0,1125.699951171875,1123.6094970703125,1741687
2022-02-10,1125.0,1150.0,1108.0,1146.25,1144.1214599609375,2030639
2022-02-11,1144.8499755859375,1144.8499755859375,1124.0,1133.300048828125,1131.195556640625,1942394
2022-02-14,1125.0,1127.0,1090.0,1096.300048828125,1094.2642822265625,2448602
2022-02-15,1096.0,1123.6500244140625,1086.199951171875,1119.949951171875,1117.8702392578125,1245681
2022-02-16,1128.0,1131.5,1102.0,1122.1500244140625,1120.066162109375,1294606
2022-02-17,1128.0,1132.8499755859375,1111.9000244140625,1126.3499755859375,1124.2584228515625,1182862
2022-02-18,1124.800048828125,1160.9000244140625,1111.3499755859375,1150.5,1148.363525390625,1734791
2022-02-21,1145.0,1150.5,1123.0,1134.75,1132.642822265625,1020384
2022-02-22,1106.0,1126.5,1096.0999755859375,1100.949951171875,1098.905517578125,2115917
2022-02-23,1108.0,1114.949951171875,1098.699951171875,1101.75,1099.7041015625,1743770
2022-02-24,1078.0,1091.5,1040.699951171875,1054.199951171875,1052.2423095703125,2088599
2022-02-25,1060.0,1077.699951171875,1049.0,1055.5999755859375,1053.6397705078125,1415912
2022-02-28,1049.0,1062.800048828125,1016.8499755859375,1060.1500244140625,1058.181396484375,1566146
